cosine_similarity,rouge1_f1,rouge2_f1,rougeL_f1,bleu,run
0.9945951777647172,0.7777777777777778,0.6212871287128713,0.6197530864197531,58.810744990318895,1
0.9952266133968718,0.7564766839378239,0.6259740259740261,0.694300518134715,54.08920445055394,2
0.9923967012447887,0.8131868131868132,0.6487148102815178,0.6202686202686203,61.146700107785044,3
0.987690502877317,0.6978417266187051,0.5432692307692307,0.5899280575539568,48.569513153863774,4
0.9917412607552467,0.6443148688046647,0.4824561403508772,0.5072886297376094,46.70571367789698,5
0.9920041150133183,0.7864897466827503,0.6311970979443773,0.6248492159227985,59.84159456905669,6
0.9878835242457579,0.7451456310679612,0.5474452554744526,0.5728155339805825,56.06755728682497,7
0.9897300562242928,0.7512315270935961,0.5580246913580248,0.5812807881773399,56.284149826031395,8
0.9971624038989604,0.7921052631578948,0.6068601583113457,0.6263157894736843,63.187247435168565,9
0.9862042650964209,0.7414880201765448,0.5891276864728193,0.6330390920554855,52.356188582608944,10
0.9908380449328877,0.7435233160621761,0.6051948051948052,0.6295336787564767,61.58334608693427,11
0.993467342468034,0.7243902439024389,0.5745721271393643,0.5853658536585366,57.774687697471556,12
0.9940561066227274,0.7681970884658454,0.5768799102132436,0.6002239641657334,58.68351182602713,13
0.9857027994373829,0.7314578005115089,0.5641025641025642,0.5805626598465473,54.88690485914372,14
0.989437006643619,0.7287735849056604,0.5460992907801419,0.5636792452830188,55.990536848453836,15
0.988749684791763,0.7074663402692778,0.5374233128834356,0.5630354957160343,55.81419900274676,16
0.9917530501551286,0.7401774397972117,0.5590851334180432,0.6058301647655259,54.609528201265974,17
0.9928441909888096,0.7750325097529259,0.6336375488917861,0.6918075422626787,59.46728326946289,18
0.9963349295245327,0.7667057444314186,0.5804935370152763,0.64947245017585,59.54515966492187,19
0.9911307282669782,0.7546239210850801,0.5760197775030902,0.6041923551171394,59.312515203357755,20
0.9955931760028569,0.7701863354037267,0.605230386052304,0.6534161490683229,55.65674983943535,21
0.9905245360661871,0.7315175097276264,0.5591677503250976,0.5862516212710764,54.632572519149626,22
0.9889803265528396,0.7441285537700866,0.540272614622057,0.6254635352286774,52.495935659873844,23
0.990898856673972,0.75,0.5639097744360902,0.5924999999999999,58.37030844017193,24
0.9914206190656302,0.7346437346437347,0.5369458128078817,0.6068796068796068,52.49164396387896,25
